Name,ID,Manufacturer,Model,Software,Description
AFE Tower-Q 24-06-09,02.01.57.40.00.2A,"RR-CirKits, Inc.",Tower-LCC+Q,v1.11,AFE ladders
Yazoo Signal Logic 26-07-30,02.01.57.40.00.07,"RR-CirKits, Inc.",Tower-LCC+Q,v1.15,
Four-Track Signal Logic West 26-07-30,02.01.57.40.03.08,"RR-CirKits, Inc.",Tower-LCC+Q,v1.15,Westward BendE to DeltaE
Zion E Panel Logic 26-07-30,02.01.57.40.03.09,"RR-CirKits, Inc.",Tower-LCC+Q,v1.15,+Q node for panel-resident logic
APW panel TWR4 22-07-26,02.01.57.00.02.E6,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Body track power & Xovers. TWR
MidwayES Turnout owner 26-07-09,02.01.57.00.01.11,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Homing point for turnouts. Under west approach
AES turnouts 21-11-11,02.01.57.00.01.B0,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout owner. TWR
ZionW panel TWR2 24-06-08,02.01.57.00.01.F4,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout routing buttons for Zion body tracks. No LEDs. TWR
Zion relays 24-01-20,02.01.57.00.02.A8,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Relays controlling body track power @Zion. TWR
ZionW panel TWR1 24-06-08,02.01.57.00.01.F2,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout routing buttons on left side of panel. No LEDs. TWR
AFE panel TWR3 24-06-09,02.01.57.00.04.5E,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Right side routing buttons. TWR
ZionES panel TWR 21-11-11,02.01.57.00.01.BF,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout routing buttons on panel. No LEDs. TWR
APW turnouts 1st 25-06-14,02.01.57.00.02.5C,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout owner. TWR
ZionW panel TWR3 21-11-11,02.01.57.00.02.A9,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Body track relay ctrl buttons and LEDs. TWR
AFE panel TWR1 23-10-25,02.01.57.00.02.C7,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Left side routing buttons & LEDs. TWR
AFW panel TWR1 23-11-17,02.01.57.00.04.59,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Body track relay ctrl buttons & partial routes. TWR
Bend CP 22-05-12,02.01.57.00.02.E8,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Bend-Alhambra throat turnout owner. TWR
ZionW turnouts ladder and branch 24-06-08,02.01.57.00.02.59,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout owner. TWR
AFE turnouts 24-06-11,02.01.57.00.01.9C,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,AFE turnout owner. TWR
APE turnouts 23-09-28,02.01.57.00.01.9D,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,APE turnouts owner. TWR
APW panel TWR3 22-07-26,02.01.57.00.02.C5,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Central routing buttons. TWR
ZionE turnouts 1st 24-03-12,02.01.57.00.01.B1,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout owner. TWR
AFE panel TWR2 23-09-26,02.01.57.00.04.4D,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,AF body and AFE track power buttons. TWR
AFW turnouts 1st 25-06-12,02.01.57.00.02.5A,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Turnout owner. TWR
AF relays 23-09-26,02.01.57.00.02.C3,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Relays controlling body track power at AF. TWR
APE panel TWR1 23-04-20,02.01.57.00.01.F5,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,APE panel buttons. TWR
Midway relays 22-05-28,02.01.57.00.02.C1,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Relays controlling body track power. TWR
AFW panel TWR3 23-02-16,02.01.57.00.01.9A,"RR-CirKits, Inc.",Tower-LCC,rev-C7e1,Bend throat quik-but.Turnout owner left intemodal.No fascia yet
