Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
0,0,"        0"," 28 step",Idle,11:28:48,Release,none,0,00 00,Rev,false,false,false,false,false,false,false,false,false
1,7616,(Consist),128 step,In Use,11:36:18,Release,sub(21),1533,02 71,Fwd,true,false,false,false,false,false,false,false,false
2,5371,"        0",128 step,Idle,11:28:48,Release,none,0,69 38,Rev,false,false,false,false,false,false,false,false,true
3,168,"        0",128 step,Idle,11:28:48,Release,none,0,64 45,Rev,true,false,false,false,false,false,false,false,false
4,6616,"        0",128 step,Idle,11:28:48,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
5,143,"        0",128 step,Idle,11:28:48,Release,none,0,02 71,Fwd,false,false,false,false,false,false,true,false,true
6,217,"        0",128 step,Idle,11:28:48,Release,none,0,6D 2D,Fwd,false,false,false,false,false,false,false,false,false
7,42,"        0",128 step,Common,11:36:19,Release,top,42,02 71,Fwd,true,false,false,false,false,false,false,false,true
8,6200,"        0",128 step,Idle,11:28:48,Release,none,0,6A 48,Rev,true,false,false,false,false,false,false,false,false
9,5332,(Consist),128 step,In Use,11:36:19,Release,sub(46),9375,02 71,Fwd,false,false,false,false,false,false,false,false,false
10,1111,"        0",128 step,Idle,11:28:48,Release,none,0,75 4E,Fwd,false,false,false,false,false,false,false,false,false
11,5381,"        0",128 step,Idle,11:28:48,Release,none,0,75 52,Fwd,true,false,false,false,false,false,false,false,false
12,7490,"        0",128 step,Idle,11:28:48,Release,none,0,6F 2B,Fwd,false,false,false,false,false,false,false,false,true
13,7019,"        0",128 step,Idle,11:28:48,Release,none,0,6E 1A,Fwd,true,false,false,false,false,true,true,false,false
14,0,"        0",128 step,Idle,11:28:49,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,false
15,1541,"        0",128 step,Idle,11:28:49,Release,none,0,65 00,Fwd,false,false,false,false,false,false,false,false,false
16,3105,"        0",128 step,Idle,11:28:49,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,true
17,7020,"        0",128 step,Idle,11:28:49,Release,none,0,6E 1A,Fwd,false,false,false,false,false,false,false,false,false
18,8190,"        0",128 step,Idle,11:28:49,Release,none,0,53 70,Fwd,true,false,false,false,true,false,false,false,false
19,2566,"        0",128 step,Idle,11:28:49,Release,none,0,69 38,Fwd,false,false,false,false,false,false,false,false,false
20,70,(Consist),128 step,In Use,11:36:19,Release,sub(7),42,02 71,Fwd,false,false,false,false,false,false,false,false,false
21,1533,"        0",128 step,Idle,11:28:49,Release,none,0,42 48,Rev,false,false,false,false,false,false,true,false,true
22,711,"        0",128 step,Idle,11:28:49,Release,none,0,65 6B,Rev,true,false,false,false,true,false,false,false,false
23,9043,"        0",128 step,Idle,11:28:49,Release,none,0,69 38,Rev,false,false,false,false,false,false,true,false,false
24,5260,(Consist),128 step,In Use,11:36:20,Release,sub(90),0,65 6B,Rev,false,false,false,true,false,false,true,false,false
25,12,"        0",128 step,Idle,11:28:49,Release,none,0,65 00,Fwd,true,false,false,true,false,false,false,false,false
26,749,"        0",128 step,Idle,11:28:49,Release,none,0,53 70,Fwd,false,false,false,false,false,false,false,false,false
27,1730,(Consist),128 step,In Use,11:36:20,Release,sub(8),6200,6D 35,Rev,false,false,false,false,false,false,false,false,true
28,5337,(Consist),128 step,In Use,11:36:20,Release,mid(46),9375,02 71,Fwd,false,false,false,false,false,false,false,false,true
29,940,"        0",128 step,Idle,11:28:49,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,false
30,748,"        0",128 step,Idle,11:28:49,Release,none,0,53 70,Fwd,false,false,false,false,false,false,false,false,false
31,6002,(Consist),128 step,Common,11:36:20,Release,sub(9),5332,42 15,Fwd,false,false,false,false,false,false,false,false,false
32,7030,"        0",128 step,Idle,11:28:49,Release,none,0,6E 1A,Rev,true,false,false,false,false,true,false,false,false
